0,2,359
2,5,137
5,7,314
7,11,487
11,37,227
0,1,95
1,3,334
3,4,63
4,6,56
66,78,279
66,82,303
12,14,14
6,8,305
8,10,421
10,12,52
12,16,62
6,9,377
16,20,35
20,25,30
25,32,38
48,49,45
39,48,53
34,39,35
39,46,32
18,23,44
16,18,9
14,18,64
32,44,80
51,52,18
43,52,99
40,42,7
42,45,20
40,43,12
28,43,93
24,28,13
28,35,42
66,74,193
74,80,91
74,92,191
31,38,34
26,31,33
20,31,78
15,23,70
38,44,34
74,96,204
29,41,78
29,34,38
22,29,29
22,36,72
19,22,28
19,30,69
15,19,33
14,15,30
57,60,26
55,57,81
53,55,55
51,53,14
49,51,31
47,49,32
46,51,104
41,46,36
36,41,35
30,36,38
26,30,26
23,26,13
24,40,92
17,24,53
13,17,54
10,13,64
25,38,82
35,47,76
34,35,20
9,21,499
21,27,35
27,33,42
33,66,421
80,89,78
86,95,37
79,86,68
59,63,44
83,98,101
88,90,22
85,91,37
91,99,29
64,67,52
61,64,34
59,61,28
50,59,193
84,93,43
81,84,43
76,81,51
72,76,76
68,72,85
65,69,111
65,68,108
62,65,41
58,62,50
56,58,67
54,56,58
50,54,55
37,50,103
88,94,32
83,88,50
68,83,222
77,85,69
67,77,264
75,79,59
79,87,71
73,75,35
71,73,41
70,71,32
69,70,28
94,97,16
